,year,age,men,women,group
0,1989,0,370680,354974.0,0 - 20
1,1989,1,379109,362729.0,0 - 20
2,1989,2,397772,381864.0,0 - 20
3,1989,3,387079,374154.0,0 - 20
4,1989,4,399224,383125.0,0 - 20
5,1989,5,403120,390385.0,0 - 20
6,1989,6,374190,361074.0,0 - 20
7,1989,7,361379,349656.0,0 - 20
8,1989,8,374245,360196.0,0 - 20
9,1989,9,366513,353263.0,0 - 20
10,1989,10,365252,353444.0,0 - 20
11,1989,11,358882,348483.0,0 - 20
12,1989,12,374373,363147.0,0 - 20
13,1989,13,369002,359436.0,0 - 20
14,1989,14,367348,357371.0,0 - 20
15,1989,15,372240,354567.0,0 - 20
16,1989,16,386514,368871.0,0 - 20
17,1989,17,377658,355397.0,0 - 20
18,1989,18,350223,343807.0,0 - 20
19,1989,19,321252,318730.0,0 - 20
20,1989,20,328366,327607.0,20 - 40
21,1989,21,331818,325406.0,20 - 40
22,1989,22,340749,335322.0,20 - 40
23,1989,23,332679,329902.0,20 - 40
24,1989,24,350974,349593.0,20 - 40
25,1989,25,373758,375162.0,20 - 40
26,1989,26,386940,390165.0,20 - 40
27,1989,27,395429,397253.0,20 - 40
28,1989,28,412097,417496.0,20 - 40
29,1989,29,401412,407403.0,20 - 40
30,1989,30,403062,410270.0,20 - 40
31,1989,31,391578,398415.0,20 - 40
32,1989,32,383800,394610.0,20 - 40
33,1989,33,367004,378197.0,20 - 40
34,1989,34,378785,393285.0,20 - 40
35,1989,35,353831,368733.0,20 - 40
36,1989,36,367021,383364.0,20 - 40
37,1989,37,364720,378440.0,20 - 40
38,1989,38,362303,381820.0,20 - 40
39,1989,39,378533,403483.0,20 - 40
40,1989,40,331739,353979.0,40 - 60
41,1989,41,287001,308456.0,40 - 60
42,1989,42,284709,309668.0,40 - 60
43,1989,43,181163,202009.0,40 - 60
44,1989,44,210991,237363.0,40 - 60
45,1989,45,198678,222868.0,40 - 60
46,1989,46,246684,281601.0,40 - 60
47,1989,47,337941,381218.0,40 - 60
48,1989,48,342251,390299.0,40 - 60
49,1989,49,378488,440594.0,40 - 60
50,1989,50,405192,475089.0,40 - 60
51,1989,51,428888,490721.0,40 - 60
52,1989,52,352047,405164.0,40 - 60
53,1989,53,302219,341309.0,40 - 60
54,1989,54,237263,266450.0,40 - 60
55,1989,55,201486,236385.0,40 - 60
56,1989,56,248080,307450.0,40 - 60
57,1989,57,259637,316730.0,40 - 60
58,1989,58,312694,398160.0,40 - 60
59,1989,59,294377,380545.0,40 - 60
60,1989,60,309841,415195.0,60 - 80
61,1989,61,289783,392852.0,60 - 80
62,1989,62,252197,396793.0,60 - 80
63,1989,63,222412,379047.0,60 - 80
64,1989,64,200714,374278.0,60 - 80
65,1989,65,176425,337763.0,60 - 80
66,1989,66,144950,307433.0,60 - 80
67,1989,67,131395,265449.0,60 - 80
68,1989,68,108535,226483.0,60 - 80
69,1989,69,102297,219660.0,60 - 80
70,1989,70,104614,231430.0,60 - 80
71,1989,71,64816,145290.0,60 - 80
72,1989,72,68603,163322.0,60 - 80
73,1989,73,81736,193466.0,60 - 80
74,1989,74,100189,260239.0,60 - 80
75,1989,75,91415,222941.0,60 - 80
76,1989,76,93374,252503.0,60 - 80
77,1989,77,76578,190244.0,60 - 80
78,1989,78,73652,208216.0,60 - 80
79,1989,79,59937,156056.0,60 - 80
82,1990,0,352522,335605.0,0 - 20
83,1990,1,380267,362021.0,0 - 20
84,1990,2,379354,362989.0,0 - 20
85,1990,3,398030,382896.0,0 - 20
86,1990,4,386286,374139.0,0 - 20
87,1990,5,397974,382253.0,0 - 20
88,1990,6,404597,391306.0,0 - 20
89,1990,7,374984,361085.0,0 - 20
90,1990,8,362209,350422.0,0 - 20
91,1990,9,374491,360813.0,0 - 20
92,1990,10,366802,353209.0,0 - 20
93,1990,11,364897,353218.0,0 - 20
94,1990,12,358238,348047.0,0 - 20
95,1990,13,374567,363691.0,0 - 20
96,1990,14,368090,359195.0,0 - 20
97,1990,15,370365,359739.0,0 - 20
98,1990,16,373279,356708.0,0 - 20
99,1990,17,388531,372229.0,0 - 20
100,1990,18,370674,353298.0,0 - 20
101,1990,19,346604,342551.0,0 - 20
102,1990,20,324792,319683.0,20 - 40
103,1990,21,327289,328804.0,20 - 40
104,1990,22,335241,326939.0,20 - 40
105,1990,23,339661,335874.0,20 - 40
106,1990,24,331750,331207.0,20 - 40
107,1990,25,351303,351115.0,20 - 40
108,1990,26,373741,377202.0,20 - 40
109,1990,27,386329,391416.0,20 - 40
110,1990,28,394856,399436.0,20 - 40
111,1990,29,411831,415661.0,20 - 40
112,1990,30,402297,411428.0,20 - 40
113,1990,31,396902,405249.0,20 - 40
114,1990,32,390979,399770.0,20 - 40
115,1990,33,381487,394305.0,20 - 40
116,1990,34,364733,377968.0,20 - 40
117,1990,35,376286,391994.0,20 - 40
118,1990,36,349901,366551.0,20 - 40
119,1990,37,368623,386077.0,20 - 40
120,1990,38,363619,379263.0,20 - 40
121,1990,39,361510,382355.0,20 - 40
122,1990,40,380440,406468.0,40 - 60
123,1990,41,320468,344694.0,40 - 60
124,1990,42,287632,311224.0,40 - 60
125,1990,43,274546,302055.0,40 - 60
126,1990,44,179601,201856.0,40 - 60
127,1990,45,214931,241642.0,40 - 60
128,1990,46,194441,219606.0,40 - 60
129,1990,47,254314,289885.0,40 - 60
130,1990,48,329383,375044.0,40 - 60
131,1990,49,342436,392971.0,40 - 60
132,1990,50,375421,441018.0,40 - 60
133,1990,51,400020,472350.0,40 - 60
134,1990,52,424131,488750.0,40 - 60
135,1990,53,344653,400038.0,40 - 60
136,1990,54,297453,338658.0,40 - 60
137,1990,55,227760,259023.0,40 - 60
138,1990,56,197711,234948.0,40 - 60
139,1990,57,246548,308934.0,40 - 60
140,1990,58,261294,322269.0,40 - 60
141,1990,59,296344,381177.0,40 - 60
142,1990,60,292886,383248.0,60 - 80
143,1990,61,301355,410137.0,60 - 80
144,1990,62,281255,386798.0,60 - 80
145,1990,63,243509,390404.0,60 - 80
146,1990,64,214022,372572.0,60 - 80
147,1990,65,194055,369345.0,60 - 80
148,1990,66,166625,326580.0,60 - 80
149,1990,67,138869,301648.0,60 - 80
150,1990,68,125330,258182.0,60 - 80
151,1990,69,103161,219641.0,60 - 80
152,1990,70,100962,227952.0,60 - 80
153,1990,71,89877,192789.0,60 - 80
154,1990,72,64494,153160.0,60 - 80
155,1990,73,64610,157870.0,60 - 80
156,1990,74,76812,186416.0,60 - 80
157,1990,75,93266,249580.0,60 - 80
158,1990,76,84161,209710.0,60 - 80
159,1990,77,85727,238935.0,60 - 80
160,1990,78,69153,187615.0,60 - 80
161,1990,79,67044,170551.0,60 - 80
164,1991,0,333778,317211.0,0 - 20
165,1991,1,352870,336108.0,0 - 20
166,1991,2,380815,362501.0,0 - 20
167,1991,3,380973,364403.0,0 - 20
168,1991,4,399856,384603.0,0 - 20
169,1991,5,388243,375319.0,0 - 20
170,1991,6,399552,383697.0,0 - 20
171,1991,7,406417,392458.0,0 - 20
172,1991,8,376274,361647.0,0 - 20
173,1991,9,363290,351469.0,0 - 20
174,1991,10,375371,361698.0,0 - 20
175,1991,11,366655,353101.0,0 - 20
176,1991,12,364744,353271.0,0 - 20
177,1991,13,357746,347474.0,0 - 20
178,1991,14,374246,363743.0,0 - 20
179,1991,15,370713,361873.0,0 - 20
180,1991,16,370474,360509.0,0 - 20
181,1991,17,373295,359332.0,0 - 20
182,1991,18,380980,370949.0,0 - 20
183,1991,19,365630,353121.0,0 - 20
184,1991,20,347904,344178.0,20 - 40
185,1991,21,327608,320938.0,20 - 40
186,1991,22,328031,329505.0,20 - 40
187,1991,23,334884,327443.0,20 - 40
188,1991,24,338821,336697.0,20 - 40
189,1991,25,331477,332455.0,20 - 40
190,1991,26,350885,351914.0,20 - 40
191,1991,27,372955,377976.0,20 - 40
192,1991,28,385121,391793.0,20 - 40
193,1991,29,394029,400022.0,20 - 40
194,1991,30,411047,416588.0,20 - 40
195,1991,31,400217,411682.0,20 - 40
196,1991,32,395306,405736.0,20 - 40
197,1991,33,388920,399299.0,20 - 40
198,1991,34,380121,394509.0,20 - 40
199,1991,35,362767,377784.0,20 - 40
200,1991,36,374288,391859.0,20 - 40
201,1991,37,347532,366061.0,20 - 40
202,1991,38,366680,385506.0,20 - 40
203,1991,39,361933,379271.0,20 - 40
204,1991,40,359788,382165.0,40 - 60
205,1991,41,378105,405966.0,40 - 60
206,1991,42,318195,344012.0,40 - 60
207,1991,43,285548,310646.0,40 - 60
208,1991,44,272612,301801.0,40 - 60
209,1991,45,178667,201725.0,40 - 60
210,1991,46,213481,241270.0,40 - 60
211,1991,47,192795,219183.0,40 - 60
212,1991,48,251903,289080.0,40 - 60
213,1991,49,326270,374326.0,40 - 60
214,1991,50,338858,392104.0,40 - 60
215,1991,51,370975,439450.0,40 - 60
216,1991,52,394807,470134.0,40 - 60
217,1991,53,418136,486483.0,40 - 60
218,1991,54,339568,397967.0,40 - 60
219,1991,55,292512,336935.0,40 - 60
220,1991,56,223704,257476.0,40 - 60
221,1991,57,193666,232738.0,40 - 60
222,1991,58,241037,305978.0,40 - 60
223,1991,59,255486,318779.0,40 - 60
224,1991,60,289975,378497.0,60 - 80
225,1991,61,284799,378214.0,60 - 80
226,1991,62,292726,404468.0,60 - 80
227,1991,63,272791,381250.0,60 - 80
228,1991,64,235181,384081.0,60 - 80
229,1991,65,206176,366123.0,60 - 80
230,1991,66,186403,361951.0,60 - 80
231,1991,67,159570,319453.0,60 - 80
232,1991,68,132673,294555.0,60 - 80
233,1991,69,119385,251871.0,60 - 80
234,1991,70,97838,213251.0,60 - 80
235,1991,71,95210,219843.0,60 - 80
236,1991,72,84645,187088.0,60 - 80
237,1991,73,60080,146227.0,60 - 80
238,1991,74,60053,150659.0,60 - 80
239,1991,75,71019,177005.0,60 - 80
240,1991,76,85579,236197.0,60 - 80
241,1991,77,76807,197261.0,60 - 80
242,1991,78,77666,223593.0,60 - 80
243,1991,79,62137,173689.0,60 - 80
246,1992,0,323446,306206.0,0 - 20
247,1992,1,334189,317853.0,0 - 20
248,1992,2,353785,336926.0,0 - 20
249,1992,3,381403,363292.0,0 - 20
250,1992,4,382792,365966.0,0 - 20
251,1992,5,401783,386492.0,0 - 20
252,1992,6,390194,376972.0,0 - 20
253,1992,7,401494,385380.0,0 - 20
254,1992,8,408323,393959.0,0 - 20
255,1992,9,377838,362668.0,0 - 20
256,1992,10,364622,352761.0,0 - 20
257,1992,11,376444,362966.0,0 - 20
258,1992,12,366726,353449.0,0 - 20
